23.5,20.1017,0.00000532222,0.1,0.02176,0.00000001273,26.08,0.35,5.692,3.261,0.0004,0.0136
35,20.916,0.00000516543,0.1,0.005066,0.00000003061,26.87,0.37,5.730,3.291,0.0003,0.0136
45,21.6279,0.00000501246,0.1,0.003325,0.00000002019,27.69,0.38,5.762,3.321,0.0003,0.0136
55,22.3333,0.00000487254,0.1,0.004563,0.00000002786,28.49,0.39,5.793,3.350,0.0003,0.0136
70,23.3832,0.00000471622,0.1,0.003899,0.000000024,29.43,0.4,5.838,3.382,0.0003,0.0136
