40.39,881.0,60.3,45.0,35583.590000000004,21.81232978460015,0.02,2.0,0.01,0.1,82.67933720102019,0.05068147900200097
54.96,1207.0,36.8,45.0,66336.72,21.961426491994178,0.02,2.0,0.01,0.1,112.53953083250347,0.03725732345255444
65.34,1444.0,26.4,45.0,94350.96,22.09978573614937,0.02,2.0,0.01,0.1,133.8331677873613,0.031347686684807585
73.69,1638.0,20.1,45.0,120704.22,22.2282534943683,0.02,2.0,0.01,0.1,150.97709097740622,0.027803145988500574
80.49,1799.0,15.9,45.0,144801.50999999998,22.35060255932414,0.02,2.0,0.01,0.1,164.95187419365686,0.025460879389434962
86.33,1939.0,12.8,45.0,167393.87,22.460326653538747,0.02,2.0,0.01,0.1,176.96147603362715,0.02374407471914972
91.64,2069.0,10.3,45.0,189603.16,22.577477084242688,0.02,2.0,0.01,0.1,187.89322180430034,0.022373861857424314
96.07,2179.0,8.4,45.0,209336.53,22.681378161757053,0.02,2.0,0.01,0.1,197.0202933710129,0.02134692774112698
100.15,2281.0,6.8,45.0,228442.15000000002,22.775836245631552,0.02,2.0,0.01,0.1,205.4294876593913,0.02048145830773473
103.98,2378.0,5.4,45.0,247264.44,22.869782650509713,0.02,2.0,0.01,0.1,213.32912412514145,0.019731064854152068
